Label,Count
Wind,731
Vegetation,188
Turdus philomelos_Song Thrush,4225
Turdus merula_Eurasian Blackbird,251
Troglodytes troglodytes_Eurasian Wren,1189
Sylvia atricapilla_Eurasian Blackcap,3196
Regulus regulus_Goldcrest,918
Regulus ignicapilla_Common Firecrest,3054
Rain,353
Phylloscopus collybita_Common Chiffchaff,1780
Periparus ater_Coal Tit,375
Pecking,175
None,1000
Muscicapa striata_Spotted Flycatcher,256
Loxia curvirostra_Common Crossbill,119
Lophophanes cristatus_Crested Tit,138
Fringilla coelebs_Common Chaffinch,6662
Erithacus rubecula_European Robin,1407
Dryocopus martius_Black Woodpecker,47
Dendrocopos major_Great Spotted Woodpecker,23
Certhia familiaris_Eurasian Treecreeper,324
Aeroplane,47
